,Q26,Q2,Q13,Q17,Q19,Q20,Q22,Q3,Q14,Q16,Q18,Q23,Q25,Q7,Q8,Q9,Q10
17,Strongly agree,,,,,,,Extremely useful,Extremely useful,Extremely Necessary,Moderately Necessary,Moderately Necessary,Extremely Necessary,18 - 24,Female,Urban area,No
18,Moderately agree,Extremely useful,Extremely useful,Extremely Necessary,Moderately Necessary,Extremely Necessary,Moderately Unnecessary,,,,,,,18 - 24,Female,Urban area,No
19,Strongly agree,,,,,,,Extremely useful,Moderately useful,Moderately Necessary,Moderately Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Female,Rural area,No
20,Moderately agree,,,,,,,Extremely useful,Extremely useful,Extremely Necessary,Moderately Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Male,Urban area,
21,Moderately agree,,,,,,,Extremely useful,Extremely useful,Extremely Necessary,Moderately Necessary,Extremely Necessary,Moderately Necessary,18 - 24,Male,Urban area,No
22,Moderately agree,Slightly useful,Moderately useful,Moderately Unnecessary,Moderately Necessary,Slightly Necessary,Slightly Necessary,,,,,,,18 - 24,Female,Urban area,No
23,Moderately disagree,Extremely useless,Moderately useful,Extremely Unnecessary,Moderately Unnecessary,Slightly Unnecessary,Moderately Unnecessary,,,,,,,18 - 24,Male,Urban area,No
24,Moderately agree,Moderately useful,Extremely useful,Extremely Necessary,Extremely Necessary,Slightly Necessary,Moderately Necessary,,,,,,,18 - 24,Male,Urban area,No
25,Slightly disagree,,,,,,,Extremely useful,Moderately useful,Slightly Necessary,Extremely Necessary,Slightly Necessary,Slightly Necessary,18 - 24,Male,Urban area,No
26,Strongly agree,,,,,,,Extremely useful,Extremely useful,Slightly Necessary,Moderately Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Male,Urban area,No
27,Strongly agree,,,,,,,Moderately useful,Moderately useful,Slightly Necessary,Extremely Necessary,Slightly Necessary,Moderately Necessary,18 - 24,Male,Urban area,No
28,Moderately agree,,,,,,,Extremely useful,Slightly useful,Slightly Necessary,Slightly Necessary,Slightly Unnecessary,Moderately Necessary,18 - 24,Female,Urban area,No
29,Slightly agree,Extremely useful,Slightly useful,Moderately Necessary,Moderately Unnecessary,Moderately Necessary,Extremely Necessary,,,,,,,18 - 24,Male,Urban area,No
